Name,Canis_familiaris,Desmodus_rotundus,Eptesicus_fuscus
MN968379,0.785,0.752,0.753
MN968380,0.785,0.752,0.753
MN968381,0.785,0.752,0.753
MN968382,0.785,0.752,0.753
MN968383,0.785,0.752,0.753
MN968384,0.785,0.752,0.753
MN968385,0.785,0.752,0.753
MN968386,0.785,0.753,0.754
MN968387,0.785,0.752,0.754
MT891038,0.781,0.749,0.749
MW249020,0.783,0.751,0.752
MW249021,0.781,0.749,0.749
AB284509,0.774,0.742,0.742
AB284510,0.774,0.742,0.742
AB284511,0.774,0.743,0.742
AB284512,0.772,0.74,0.739
AB284513,0.775,0.743,0.742
AB284514,0.774,0.742,0.742
AB285215,0.774,0.742,0.742
EU853582,0.77,0.738,0.737
EU853584,0.765,0.734,0.732
EU853585,0.765,0.734,0.732
EU853586,0.766,0.735,0.733
EU853587,0.763,0.731,0.73
EU853588,0.763,0.731,0.73
EU853589,0.763,0.731,0.73
EU853590,0.763,0.731,0.729
HM179504,0.761,0.729,0.728
HM179505,0.764,0.733,0.731
HM179506,0.773,0.741,0.74
KF155002,0.774,0.743,0.741
KR534217,0.772,0.741,0.739
KR534218,0.771,0.739,0.738
KR534219,0.762,0.729,0.728
KR534220,0.771,0.739,0.738
KR534228,0.76,0.728,0.727
KR534229,0.77,0.739,0.737
KR534230,0.759,0.727,0.726
KR534231,0.76,0.728,0.727
KR534233,0.769,0.738,0.736
KR534238,0.76,0.728,0.727
KR534244,0.77,0.738,0.737
KR534247,0.77,0.738,0.737
KR534249,0.77,0.738,0.737
KR534250,0.77,0.739,0.738
KR534251,0.76,0.728,0.727
KR534252,0.755,0.723,0.722
KR534253,0.771,0.739,0.738
KR906734,0.762,0.729,0.728
KR906735,0.767,0.736,0.735
KR906736,0.767,0.736,0.735
KR906739,0.766,0.733,0.733
KR906741,0.767,0.734,0.733
KR906742,0.773,0.742,0.74
KR906743,0.76,0.728,0.727
KR906744,0.765,0.732,0.732
KR906745,0.774,0.743,0.741
KR906746,0.761,0.728,0.728
KR906747,0.762,0.729,0.729
KR906748,0.767,0.734,0.733
KR906749,0.767,0.735,0.734
KR906750,0.773,0.742,0.74
KR906751,0.762,0.729,0.729
KR906752,0.767,0.734,0.733
KR906754,0.773,0.742,0.74
KR906755,0.77,0.738,0.737
KR906756,0.771,0.739,0.738
KR906757,0.766,0.734,0.733
KR906759,0.76,0.727,0.727
KR906760,0.769,0.738,0.736
KR906762,0.775,0.744,0.743
KR906763,0.768,0.737,0.736
KR906765,0.769,0.738,0.737
KR906766,0.767,0.736,0.735
KR906767,0.769,0.738,0.736
KR906768,0.773,0.742,0.74
KR906770,0.757,0.724,0.724
KR906771,0.77,0.738,0.737
KR906772,0.769,0.738,0.736
KR906773,0.771,0.74,0.738
KR906774,0.76,0.728,0.727
KR906776,0.757,0.724,0.724
KR906780,0.771,0.74,0.738
KR906782,0.77,0.738,0.737
KR906784,0.756,0.723,0.723
KR906789,0.757,0.724,0.724
KR906790,0.759,0.727,0.726
KR906792,0.771,0.739,0.738
KT336432,0.769,0.737,0.736
KT336433,0.77,0.738,0.737
KT336434,0.768,0.736,0.736
KT336435,0.767,0.735,0.734
KT336436,0.766,0.735,0.733
KT336437,0.767,0.735,0.734
KX148203,0.761,0.73,0.729
KX148204,0.763,0.731,0.73
KX148205,0.77,0.738,0.737
KX148206,0.764,0.731,0.73
KX148208,0.769,0.737,0.736
KY210222,0.772,0.741,0.739
KY210223,0.76,0.728,0.727
KY210224,0.771,0.739,0.738
KY210226,0.77,0.739,0.738
KY210227,0.757,0.724,0.724
KY210229,0.77,0.738,0.737
KY210231,0.77,0.738,0.737
KY210232,0.77,0.738,0.737
KY210234,0.77,0.738,0.737
KY210235,0.77,0.738,0.737
KY210238,0.77,0.738,0.737
KY210239,0.77,0.738,0.737
KY210243,0.771,0.739,0.738
KY210244,0.771,0.739,0.738
KY210245,0.759,0.727,0.726
KY210247,0.768,0.737,0.736
KY210248,0.771,0.739,0.738
KY210249,0.77,0.739,0.737
KY210250,0.77,0.738,0.737
KY210251,0.77,0.738,0.737
KY210252,0.759,0.727,0.726
KY210253,0.756,0.724,0.723
KY210254,0.756,0.724,0.723
KY210255,0.756,0.724,0.723
KY210256,0.756,0.724,0.723
KY210257,0.757,0.724,0.724
KY210258,0.77,0.738,0.737
KY210260,0.77,0.738,0.737
KY210263,0.759,0.727,0.726
KY210264,0.761,0.729,0.728
KY210265,0.771,0.739,0.738
KY210266,0.756,0.724,0.723
KY210267,0.771,0.739,0.738
KY210269,0.757,0.724,0.724
KY210270,0.757,0.724,0.724
KY210271,0.77,0.738,0.737
KY210272,0.77,0.738,0.737
KY210273,0.771,0.739,0.738
KY210278,0.771,0.74,0.738
KY210279,0.756,0.724,0.724
KY210280,0.76,0.728,0.727
KY210281,0.76,0.728,0.727
KY210282,0.76,0.728,0.727
KY210286,0.771,0.74,0.738
KY210287,0.771,0.739,0.737
KY210288,0.771,0.739,0.737
KY210289,0.77,0.738,0.737
KY210290,0.77,0.738,0.737
KY210292,0.77,0.738,0.737
KY210293,0.77,0.738,0.737
KY210294,0.757,0.724,0.724
KY210295,0.771,0.739,0.737
KY210296,0.771,0.739,0.737
KY210299,0.77,0.738,0.737
KY210300,0.77,0.738,0.737
KY210303,0.771,0.739,0.738
KY210304,0.757,0.725,0.725
KY210307,0.77,0.738,0.737
KY210311,0.759,0.727,0.726
KY563717,0.765,0.734,0.733
LC029890,0.766,0.734,0.733
MN726804,0.773,0.742,0.74
MN726826,0.773,0.742,0.74
MN726827,0.773,0.742,0.741
MT454631,0.769,0.738,0.736
MT454634,0.769,0.737,0.736
MT454635,0.771,0.739,0.738
MT454636,0.769,0.737,0.736
MT454637,0.769,0.738,0.737
MT454639,0.769,0.737,0.736
MT454641,0.768,0.737,0.736
MT454643,0.76,0.728,0.727
MT454644,0.765,0.732,0.731
MT454645,0.76,0.728,0.727
AF351828,0.789,0.757,0.757
AF351831,0.777,0.744,0.745
AF351832,0.786,0.754,0.755
AF351833,0.787,0.753,0.753
AF351855,0.778,0.744,0.745
AF351861,0.787,0.754,0.754
AF351862,0.787,0.754,0.754
AY039227,0.786,0.753,0.753
AY039228,0.788,0.754,0.754
AY039229,0.786,0.752,0.753
GU644652,0.791,0.758,0.758
GU644654,0.785,0.751,0.752
GU644655,0.788,0.753,0.754
GU644656,0.789,0.755,0.756
GU644657,0.79,0.757,0.757
GU644658,0.79,0.757,0.757
GU644659,0.793,0.76,0.759
GU644660,0.793,0.76,0.76
GU644661,0.793,0.759,0.759
GU644662,0.791,0.757,0.758
GU644663,0.792,0.759,0.759
GU644664,0.794,0.762,0.761
GU644665,0.79,0.757,0.757
GU644666,0.793,0.76,0.76
GU644667,0.791,0.758,0.758
GU644668,0.796,0.763,0.764
GU644669,0.793,0.759,0.759
GU644670,0.795,0.763,0.763
GU644671,0.793,0.759,0.759
GU644676,0.786,0.752,0.753
GU644677,0.786,0.753,0.753
GU644684,0.786,0.752,0.752
GU644689,0.784,0.751,0.751
GU644690,0.785,0.751,0.751
GU644695,0.785,0.751,0.752
JQ685925,0.784,0.751,0.751
AF351845,0.782,0.752,0.751
AF351846,0.783,0.753,0.752
AF351858,0.779,0.75,0.749
AF394883,0.782,0.752,0.751
AF394884,0.781,0.751,0.75
GU644712,0.78,0.75,0.75
GU644713,0.78,0.75,0.749
GU644714,0.783,0.755,0.753
GU644715,0.781,0.751,0.75
GU644716,0.781,0.752,0.751
GU644717,0.78,0.751,0.749
GU644718,0.783,0.754,0.753
GU644719,0.782,0.752,0.752
GU644720,0.781,0.751,0.751
GU644721,0.782,0.752,0.751
JQ685947,0.781,0.751,0.75
AY854505,0.771,0.74,0.738
AY854525,0.771,0.74,0.738
AY854531,0.774,0.743,0.741
AY854544,0.777,0.747,0.745
AY854546,0.777,0.747,0.745
AY854558,0.768,0.739,0.737
AY854567,0.763,0.733,0.732
AY854573,0.766,0.735,0.734
AY854576,0.773,0.742,0.74
AF483524,0.776,0.744,0.744
EU345002,0.783,0.751,0.751
EU345003,0.776,0.744,0.745
EU345004,0.776,0.744,0.743
JQ513553,0.776,0.746,0.745
JQ685938,0.778,0.747,0.746
JQ685968,0.779,0.747,0.747
MW055084,0.784,0.752,0.752
MW055085,0.783,0.751,0.751
MW055086,0.781,0.749,0.749
MW055087,0.781,0.749,0.75
AF351849,0.786,0.752,0.753
AF394876,0.788,0.754,0.755
GU644760,0.788,0.753,0.754
GU644761,0.786,0.752,0.753
GU644762,0.786,0.752,0.753
GU644763,0.788,0.754,0.755
GU644764,0.788,0.753,0.754
GU644765,0.784,0.749,0.751
GU644766,0.787,0.752,0.753
GU644767,0.783,0.748,0.749
GU644768,0.786,0.752,0.753
GU644769,0.786,0.752,0.753
GU644770,0.785,0.751,0.752
GU644771,0.787,0.753,0.754
GU644772,0.785,0.751,0.752
GU644773,0.786,0.752,0.753
GU644774,0.786,0.751,0.753
GU644775,0.787,0.753,0.754
GU644776,0.784,0.749,0.75
GU644777,0.785,0.751,0.752
GU644778,0.787,0.753,0.754
GU644779,0.787,0.752,0.753
GU644780,0.785,0.751,0.753
GU644781,0.784,0.75,0.751
GU644782,0.786,0.752,0.753
GU644783,0.786,0.752,0.753
GU644784,0.786,0.752,0.753
GU644785,0.786,0.752,0.753
GU644786,0.786,0.752,0.753
GU644787,0.788,0.753,0.754
GU644788,0.785,0.751,0.752
JQ685905,0.786,0.752,0.753
