sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
DQ886050	AL_RAC-SK	RAC-SK	USA	United States	Massachusetts, Worchester county	1992	1992	1992	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1630
DQ886051	AL_RAC-SK	RAC-SK	USA	United States	Maryland, Washington county	1982	1982	1982	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 0460
DQ886053	AL_RAC-SK	RAC-SK	USA	United States	North Carolina, Edgecombe county	1992	1992	1992	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 4248
DQ886054	AL_RAC-SK	RAC-SK	USA	United States	New Hampshire, Hillsboro county	-	-	2007	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1642
DQ886055	AL_RAC-SK	RAC-SK	USA	United States	New Hampshire, Grafton county	1992	1992	1992	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1547
DQ886056	AL_RAC-SK	RAC-SK	USA	United States	New Hampshire, Rockingham county	1992	1992	1992	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1676
DQ886058	AL_RAC-SK	RAC-SK	USA	United States	New Jersey, Sussex county	2003	2003	2003	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 6407
DQ886059	AL_RAC-SK	RAC-SK	USA	United States	New Jersey, Burlington county	-	-	2007	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 6414
DQ886060	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Wyoming county	2004	2004	2004	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A047666PArac1089
DQ886061	AL_RAC-SK	RAC-SK	USA	United States	Tennessee, Carter county	2003	2003	2003	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 6012
DQ886062	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Spotsylvania county	1984	1984	1984	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1748
DQ886063	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Hanover county	-	-	2007	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	1747
DQ886064	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Norfolk county	1989	1989	1989	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 0845
DQ886065	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Montgomery county	1992	1992	1992	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1607
DQ886066	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Roanoke county	1992	1992	1992	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1610
DQ886067	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Accomack county	1994	1994	1994	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 2224
DQ886068	AL_RAC-SK	RAC-SK	USA	United States	Virginia, Alblemarle county	1994	1994	1994	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 2682
DQ886069	AL_RAC-SK	RAC-SK	USA	United States	Vermont, Bennington county	1994	1994	1994	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 2692
DQ886070	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Grant county	1987	1987	1987	1422	13-May-2007	13-Jul-2016	Procyon lotor	17470818	SM 1845
DQ886071	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Greenbrier county	2002	2002	2002	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033190WVrac251
DQ886072	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Monroe county	2002	2002	2002	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033191WVrac278
DQ886073	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Mercer county	2002	2002	2002	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033192WVrac289
DQ886074	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Pendleton county	2002	2002	2002	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033196WVrac390
DQ886075	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Hardy county	2002	2002	2002	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033202WVrac465
DQ886076	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Monongalia county	2002	2002	2002	1452	13-May-2007	13-Jul-2016	Procyon lotor	17470818	A033210WVrac553
EF508139	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Fulton County	2004	2004	2004	1452	14-May-2007	14-May-2007	Procyon lotor	17470818	PA23
EF508140	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Somerset County	2004	2004	2004	1452	14-May-2007	14-May-2007	Procyon lotor	17470818	PA30
EF508141	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Jefferson County	2002	2002	2002	1452	14-May-2007	14-May-2007	Procyon lotor	17470818	WV19
EF508142	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Mineral County	2002	2002	2002	1452	14-May-2007	14-May-2007	Procyon lotor	17470818	WV23
EF508143	AL_RAC-SK	RAC-SK	USA	United States	West Virginia, Barbour County	-	-	2007	1452	14-May-2007	14-May-2007	Procyon lotor	17470818	WV26
EF508144	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Washington County	2003	2003	2003	1452	14-May-2007	14-May-2007	Procyon lotor	17470818	PA62
EU003121	AL_RAC-SK	RAC-SK	USA	United States	Columbiana County	1997	1997	1997	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	hOH02N
EU003122	AL_RAC-SK	RAC-SK	USA	United States	Ohio, Mahoning County	1997	1997	1997	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	hOH19N
EU003123	AL_RAC-SK	RAC-SK	USA	United States	Ohio, Trumbull County	1997	1997	1997	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	hOH23N
EU003124	AL_RAC-SK	RAC-SK	USA	United States	Ohio, Cuyahoga	2004	2004	2004	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	OH04N
EU003125	AL_RAC-SK	RAC-SK	USA	United States	Ohio, Geauga County	2004	2004	2004	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	OH17N
EU003126	AL_RAC-SK	RAC-SK	USA	United States	Ohio, Lake County	2004	2004	2004	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	OH23N
EU003127	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Allegheny County	2004	2004	2004	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	PA02N
EU003128	AL_RAC-SK	RAC-SK	USA	United States	Pennsylvania, Westmoreland County	2004	2004	2004	2760	28-Jul-2007	03-Apr-2008	Procyon lotor	18394286	PA42N
EU311738	AL_RAC-SK	RAC-SK	CAN	Canada	-	1999	1999	1999	11925	22-Jul-2008	24-Jul-2016	Procyon lotor	18554740	RRV ON-99-2
JQ685901	AL_RAC-SK	RAC-SK	USA	United States	-	2003	2003	2003	11924	10-Jul-2012	10-Jul-2012	Procyon lotor	22737076	RAC
KC832859	AL_RAC-SK	RAC-SK	USA	United States	FL, Pensacola	2000	2000	2000	1353	16-Jul-2013	16-Jul-2013	Procyon lotor	-	A00-0708
KC832860	AL_RAC-SK	RAC-SK	USA	United States	FL, Pensacola	1997	1997	1997	1353	16-Jul-2013	16-Jul-2013	Procyon lotor	-	sm3684
KC832861	AL_RAC-SK	RAC-SK	USA	United States	FL, Hillsborough	2013	2013	2013	1353	16-Jul-2013	16-Jul-2013	Procyon lotor	-	A13-0997
KC832862	AL_RAC-SK	RAC-SK	USA	United States	FL, Paso	2013	2013	2013	1353	16-Jul-2013	16-Jul-2013	Procyon lotor	-	A13-0998
KY026414	AL_RAC-SK	RAC-SK	USA	United States	-	2013	2013	2013	11924	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ME.2013.0131
KY026416	AL_RAC-SK	RAC-SK	USA	United States	-	1995	1995	1995	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	NY.1995.7951
KY026417	AL_RAC-SK	RAC-SK	USA	United States	-	1998	1998	1998	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	NY.1998.8982
KY026420	AL_RAC-SK	RAC-SK	USA	United States	-	2004	2004	2004	11924	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	NY.2004.2473
KY026421	AL_RAC-SK	RAC-SK	USA	United States	-	2011	2011	2011	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	NY.2011.1548
KY026422	AL_RAC-SK	RAC-SK	CAN	Canada	-	1999	1999	1999	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.1999.3306
KY026423	AL_RAC-SK	RAC-SK	CAN	Canada	-	1999	1999	1999	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.1999.5025
KY026424	AL_RAC-SK	RAC-SK	CAN	Canada	-	1999	1999	1999	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.1999.6417
KY026425	AL_RAC-SK	RAC-SK	CAN	Canada	-	1999	1999	1999	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.1999.6479
KY026426	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11924	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.0112
KY026427	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.0155
KY026428	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.0222
KY026429	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.0484
KY026430	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.0771
KY026431	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.0969
KY026432	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.1357
KY026433	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.1730
KY026434	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.1818
KY026435	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.2067
KY026436	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.2201
KY026437	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.2342
KY026438	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.2398
KY026439	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.4360
KY026440	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.4461
KY026441	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.4474
KY026442	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.5320
KY026443	AL_RAC-SK	RAC-SK	CAN	Canada	-	2000	2000	2000	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2000.6152
KY026444	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.0312
KY026445	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.0889
KY026446	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.1190
KY026447	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.12052
KY026448	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.12053
KY026449	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.1891
KY026451	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.3744
KY026452	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.3913
KY026453	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.4148
KY026454	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11926	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.6195
KY026455	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11924	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.7006
KY026456	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.7160
KY026457	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.8399
KY026458	AL_RAC-SK	RAC-SK	CAN	Canada	-	2001	2001	2001	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2001.9303
KY026459	AL_RAC-SK	RAC-SK	CAN	Canada	-	2002	2002	2002	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2002.3398
KY026460	AL_RAC-SK	RAC-SK	CAN	Canada	-	2002	2002	2002	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2002.3853
KY026461	AL_RAC-SK	RAC-SK	CAN	Canada	-	2002	2002	2002	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2002.7095
KY026462	AL_RAC-SK	RAC-SK	CAN	Canada	-	2002	2002	2002	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2002.7849
KY026463	AL_RAC-SK	RAC-SK	CAN	Canada	-	2002	2002	2002	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2002.8206
KY026464	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.0941
KY026465	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.1519
KY026466	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.2673
KY026467	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.2760
KY026468	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11926	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.2794
KY026469	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.3406
KY026470	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.3574
KY026471	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.4680
KY026472	AL_RAC-SK	RAC-SK	CAN	Canada	-	2003	2003	2003	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2003.5257
KY026473	AL_RAC-SK	RAC-SK	CAN	Canada	-	2004	2004	2004	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2004.6275
KY026474	AL_RAC-SK	RAC-SK	CAN	Canada	-	2004	2004	2004	11926	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2004.6277
KY026475	AL_RAC-SK	RAC-SK	CAN	Canada	-	2004	2004	2004	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2004.6953
KY026476	AL_RAC-SK	RAC-SK	CAN	Canada	-	2004	2004	2004	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2004.7702
KY026477	AL_RAC-SK	RAC-SK	CAN	Canada	-	2005	2005	2005	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	ON.2005.4941
KY026478	AL_RAC-SK	RAC-SK	USA	United States	-	2006	2006	2006	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	VT.2006.0225
KY026480	AL_RAC-SK	RAC-SK	USA	United States	-	2007	2007	2007	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	VT.2007.0522
KY026481	AL_RAC-SK	RAC-SK	USA	United States	-	2008	2008	2008	11925	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	VT.2008.0209
KY026482	AL_RAC-SK	RAC-SK	USA	United States	-	2008	2008	2008	11923	08-Mar-2017	08-Mar-2017	Procyon lotor	28219746	VT.2008.0237
MF143192	AL_RAC-SK	RAC-SK	USA	United States	Wells, York, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0025
MF143193	AL_RAC-SK	RAC-SK	USA	United States	Dixmont, Penobscot, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0034
MF143195	AL_RAC-SK	RAC-SK	USA	United States	Litchfield, Kennebec, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0064
MF143196	AL_RAC-SK	RAC-SK	USA	United States	Skowhegan, Somerset, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0067
MF143199	AL_RAC-SK	RAC-SK	USA	United States	Mariaville, Hancock, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0102
MF143200	AL_RAC-SK	RAC-SK	USA	United States	Windham, Cumberland, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0109
MF143201	AL_RAC-SK	RAC-SK	USA	United States	Lewistion, Androscoggin, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0110
MF143205	AL_RAC-SK	RAC-SK	USA	United States	Southport Island, Lincoln, ME	2013	2013	2013	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0187
MF143206	AL_RAC-SK	RAC-SK	USA	United States	Stow, Oxford, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0233
MF143208	AL_RAC-SK	RAC-SK	USA	United States	Monmouth, Kennebec, ME	2013	2013	2013	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2013.0332
MF143213	AL_RAC-SK	RAC-SK	USA	United States	North Yarmouth, Cumberland, ME	2014	2014	2014	11925	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0038
MF143215	AL_RAC-SK	RAC-SK	USA	United States	Cornville, Somerset, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0084
MF143217	AL_RAC-SK	RAC-SK	USA	United States	Charlotte, Washington, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0091
MF143218	AL_RAC-SK	RAC-SK	USA	United States	Sidney, Kennebec, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0095
MF143219	AL_RAC-SK	RAC-SK	USA	United States	Richmond, Sagadahoc, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0103
MF143221	AL_RAC-SK	RAC-SK	USA	United States	Deblois, Washington, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0169
MF143222	AL_RAC-SK	RAC-SK	USA	United States	Baileyville, Washington, ME	2014	2014	2014	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	ME.2014.0197
MF143225	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2000	2000	2000	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2000.5579
MF143227	AL_RAC-SK	RAC-SK	CAN	Canada	St. George, Charlotte, NB	2000	2000	2000	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2000.5735
MF143228	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2001	2001	2001	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2001.0005
MF143230	AL_RAC-SK	RAC-SK	CAN	Canada	Little Ridge, Charlotte, NB	2001	2001	2001	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2001.1588
MF143231	AL_RAC-SK	RAC-SK	CAN	Canada	Dufferin, Charlotte, NB	2001	2001	2001	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2001.3484
MF143232	AL_RAC-SK	RAC-SK	CAN	Canada	Cockerhill, Charlotte, NB	2001	2001	2001	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2001.6249
MF143233	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2001	2001	2001	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2001.9134
MF143234	AL_RAC-SK	RAC-SK	CAN	Canada	Valley Road, Charlotte, NB	2002	2002	2002	11923	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2002.3420
MF143235	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2014	2014	2014	11925	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2014.0486
MF143236	AL_RAC-SK	RAC-SK	CAN	Canada	Oak Bay, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0046
MF143237	AL_RAC-SK	RAC-SK	CAN	Canada	Waweig, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0149
MF143238	AL_RAC-SK	RAC-SK	CAN	Canada	Bayside, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0155
MF143239	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0156
MF143240	AL_RAC-SK	RAC-SK	CAN	Canada	Bocabec, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0183
MF143241	AL_RAC-SK	RAC-SK	CAN	Canada	Waweig, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0185
MF143242	AL_RAC-SK	RAC-SK	CAN	Canada	Burnt Hill, Charlotte, NB	2015	2015	2015	11925	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0201
MF143243	AL_RAC-SK	RAC-SK	CAN	Canada	St. Stephen, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0202
MF143244	AL_RAC-SK	RAC-SK	CAN	Canada	Cooks Lane, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0207
MF143245	AL_RAC-SK	RAC-SK	CAN	Canada	Waweig, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0270
MF143246	AL_RAC-SK	RAC-SK	CAN	Canada	Waweig, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0343
MF143247	AL_RAC-SK	RAC-SK	CAN	Canada	Valley Road, Charlotte, NB	2015	2015	2015	11924	12-Sep-2017	08-Jun-2021	Procyon lotor	28820138	NB.2015.0359
